City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,13.23,49,72,3.62,US,1675556353
1,katsuura,35.1333,140.3,47.35,62,16,14.16,JP,1675556353
2,bowen,-20.0167,148.2333,82.31,82,92,8.1,AU,1675556354
3,qaanaaq,77.484,-69.3632,-4.67,59,60,2.75,GL,1675556355
4,mgandu,-5.95,34.1333,60.31,89,83,0.49,TZ,1675556356
5,bluff,-46.6,168.3333,60.84,93,100,8.9,NZ,1675556356
6,nikolskoye,59.7035,30.7861,24.69,94,98,4.72,RU,1675556357
7,aukra,62.7925,6.919,41.76,93,100,26.46,NO,1675556357
8,punta arenas,-53.15,-70.9167,55.51,88,75,19.57,CL,1675556087
9,tessalit,20.1986,1.0114,59.92,16,68,10.49,ML,1675556196
10,champerico,14.3,-91.9167,86.54,65,2,5.99,GT,1675556358
11,rikitea,-23.1203,-134.9692,79.14,74,3,12.46,PF,1675556254
12,lompoc,34.6391,-120.4579,70.02,77,75,8.99,US,1675556359
13,ushuaia,-54.8,-68.3,55.06,62,75,12.66,AR,1675556360
14,beringovskiy,63.05,179.3167,-15.95,84,59,16.13,RU,1675556107
15,grand forks,47.9417,-97.4337,13.93,79,100,13.8,US,1675556198
16,yar-sale,66.8333,70.8333,7.52,97,96,7.07,RU,1675556360
17,itaituba,-4.2761,-55.9836,74.93,98,79,1.07,BR,1675556361
18,thompson,55.7435,-97.8558,-12.73,99,98,2.46,CA,1675556140
19,college,64.8569,-147.8028,8.55,78,75,5.75,US,1675556361
20,east london,-33.0153,27.9116,74.37,80,100,10.65,ZA,1675556362
21,gravdal,68.1214,13.5031,35.24,98,100,25.81,NO,1675556362
22,bredasdorp,-34.5322,20.0403,68.25,91,2,7.09,ZA,1675556363
23,mahebourg,-20.4081,57.7,79.09,83,40,3.44,MU,1675556363
24,port alfred,-33.5906,26.891,77.18,70,100,1.01,ZA,1675556364
25,busselton,-33.65,115.3333,76.06,38,77,6.2,AU,1675556073
26,comodoro rivadavia,-45.8667,-67.5,73.26,49,0,2.3,AR,1675556364
27,hilo,19.7297,-155.09,80.33,72,75,11.5,US,1675556365
28,jamestown,42.097,-79.2353,26.19,35,0,13.8,US,1675555665
29,hobart,-42.8794,147.3294,73.06,51,10,1.99,AU,1675556140
30,chuy,-33.6971,-53.4616,65.26,94,49,15.01,UY,1675556366
31,bathsheba,13.2167,-59.5167,79.41,78,75,21.85,BB,1675556366
32,ribeira grande,38.5167,-28.7,61.77,89,32,10.0,PT,1675556367
33,saint anthony,45.0205,-93.218,28.65,73,0,6.91,US,1675556367
34,hobyo,5.3505,48.5268,74.26,74,51,14.03,SO,1675556367
35,vaini,-21.2,-175.2,86.16,74,75,18.41,TO,1675556368
36,meulaboh,4.1363,96.1285,74.37,88,93,3.36,ID,1675556368
37,nuqui,5.7125,-77.2708,77.81,87,74,3.47,CO,1675556369
38,hermanus,-34.4187,19.2345,70.81,93,30,6.17,ZA,1675556369
39,kanigiri,15.4,79.5167,67.87,83,2,0.56,IN,1675556369
40,isangel,-19.55,169.2667,84.85,78,60,15.35,VU,1675556370
41,saskatoon,52.1168,-106.6345,23.99,85,20,5.75,CA,1675556194
42,avarua,-21.2078,-159.775,84.25,79,75,14.97,CK,1675556370
43,ossora,59.2353,163.0719,0.45,85,100,2.33,RU,1675556371
44,sretensk,52.2453,117.7093,-28.25,100,75,0.92,RU,1675556371
45,santa maria,-29.6842,-53.8069,72.48,36,28,4.9,BR,1675556276
46,cape town,-33.9258,18.4232,70.88,89,69,1.99,ZA,1675556082
47,hami,42.8,93.45,30.06,37,100,4.47,CN,1675556372
48,torit,4.4133,32.5678,79.3,30,75,3.0,SS,1675556373
49,krasnoarmeysk,51.0239,45.6969,8.92,99,100,4.29,RU,1675556374
50,payo,-3.7508,103.6372,71.13,93,100,2.01,ID,1675556206
51,pisco,-13.7,-76.2167,71.65,94,48,5.75,PE,1675556374
52,yellowknife,62.456,-114.3525,-22.68,93,32,2.89,CA,1675556112
53,ambilobe,-13.2,49.05,73.31,96,99,1.59,MG,1675556375
54,butaritari,3.0707,172.7902,81.21,81,52,18.72,KI,1675556375
55,carnarvon,-24.8667,113.6333,80.13,68,1,8.93,AU,1675556375
56,lom sak,16.7798,101.2422,71.49,100,75,0.0,TH,1675556376
57,constitucion,-35.3333,-72.4167,60.13,95,24,2.53,CL,1675556211
58,lebu,-37.6167,-73.65,59.04,95,61,4.61,CL,1675556376
59,namatanai,-3.6667,152.4333,83.08,72,100,2.26,PG,1675556148
60,hohhot,40.8106,111.6522,17.89,53,0,4.47,CN,1675556377
61,port-gentil,-0.7193,8.7815,80.82,78,100,6.73,GA,1675556140
62,saskylakh,71.9167,114.0833,-28.61,97,92,3.42,RU,1675556377
63,souillac,-20.5167,57.5167,79.18,83,40,3.44,MU,1675556378
64,okhotsk,59.3833,143.3,-15.12,81,41,11.3,RU,1675556149
65,richards bay,-28.783,32.0377,71.11,90,15,2.53,ZA,1675556379
66,rocha,-34.4833,-54.3333,65.98,93,84,14.38,UY,1675556379
67,ostrovnoy,68.0531,39.5131,13.55,84,100,12.66,RU,1675556380
68,gombong,-7.6072,109.5142,76.44,89,100,1.86,ID,1675556380
69,yaan,7.3833,8.5667,83.14,18,96,4.99,NG,1675556380
70,nouadhibou,20.931,-17.0347,66.18,30,89,17.27,MR,1675556176
71,basna,21.2833,82.8167,57.81,23,84,1.9,IN,1675556381
72,mar del plata,-38.0023,-57.5575,68.09,73,0,4.61,AR,1675556381
